cd_cliente,nm_cliente,cpf,email,sexo,dt_nascimento,dt_cadastro
1,FERNANDA BARBOSA CARVALHO,31165667010,cliente001@email.com.br,F,1978-01-22,2021-11-25
2,LUIS ALVES ALVES,87262473178,cliente002@email.com.br,M,1964-05-23,2020-04-13
3,PEDRO PEREIRA FERREIRA,67736026064,cliente003@email.com.br,M,1995-03-04,2022-07-20
4,AMANDA DIAS BARBOSA,23430980500,cliente004@email.com.br,F,1986-03-16,2022-09-03
5,CARLOS CUNHA OLIVEIRA,21913619399,cliente005@email.com.br,M,1961-10-13,2023-06-22
6,FELIPE MOURA MOURA,85435346247,cliente006@email.com.br,M,1974-03-08,2020-05-28
7,RODRIGO RAMOS MOURA,11838425135,cliente007@email.com.br,M,1972-10-13,2020-11-19
8,NATALIA DIAS GOMES,98084124118,cliente008@email.com.br,F,1966-12-21,2021-07-11
9,BEATRIZ ALVES COSTA,34874016400,cliente009@email.com.br,F,1974-12-17,2020-09-24
10,JULIA ARAUJO DIAS,68011280598,cliente010@email.com.br,F,1966-08-23,2022-05-30
11,CARLOS GOMES RIBEIRO,05331586923,cliente011@email.com.br,M,1998-10-13,2020-11-28
12,LEANDRO CARVALHO SILVA,25634216073,cliente012@email.com.br,M,1968-12-13,2022-07-31
13,PATRICIA PEREIRA PEREIRA,03654145868,cliente013@email.com.br,F,1974-11-08,2020-02-26
14,LEANDRO LIMA FERREIRA,94019655698,cliente014@email.com.br,M,1965-03-09,2022-02-27
15,MARCOS SANTOS CARVALHO,08835615951,cliente015@email.com.br,M,1992-04-14,2021-09-07
16,MARIANA CARVALHO COSTA,64823662994,cliente016@email.com.br,F,1978-03-20,2023-01-27
17,MARCOS GOMES ALVES,69957773872,cliente017@email.com.br,M,1989-07-21,2020-06-22
18,LETICIA RAMOS COSTA,13433200379,cliente018@email.com.br,F,1998-02-12,2020-05-29
19,AMANDA MOURA ALVES,67632016328,cliente019@email.com.br,F,1980-11-02,2020-04-12
20,LEANDRO SOUZA ARAUJO,27889579868,cliente020@email.com.br,M,1980-01-01,2020-11-21
21,JESSICA LIMA PEREIRA,48734714345,cliente021@email.com.br,F,1974-05-05,2023-01-11
22,JOAO RODRIGUES PEREIRA,62316658760,cliente022@email.com.br,M,1969-04-11,2022-05-10
23,VANESSA MOURA SILVA,96705466889,cliente023@email.com.br,F,2000-04-09,2021-03-27
24,FERNANDA LIMA CARVALHO,70656272980,cliente024@email.com.br,F,2000-09-06,2022-03-17
25,PEDRO CARVALHO RODRIGUES,72046537556,cliente025@email.com.br,M,1972-06-24,2022-05-13
26,NATALIA OLIVEIRA BARBOSA,08053100330,cliente026@email.com.br,F,1987-11-14,2020-11-08
27,JOAO BARBOSA SOUZA,93745299124,cliente027@email.com.br,M,1964-11-06,2023-03-31
28,LEANDRO GOMES MOURA,66319314919,cliente028@email.com.br,M,1995-02-08,2020-03-25
29,LETICIA CARVALHO RIBEIRO,18506716572,cliente029@email.com.br,F,1979-07-15,2020-12-26
30,BEATRIZ DIAS BARBOSA,76945314737,cliente030@email.com.br,F,1985-07-24,2023-06-03
31,CAMILA SILVA BARBOSA,52735454948,cliente031@email.com.br,F,1960-06-15,2022-11-24
32,PEDRO PEREIRA CARVALHO,78377701436,cliente032@email.com.br,M,1991-01-12,2021-05-13
33,MARIANA MOURA RIBEIRO,78856855744,cliente033@email.com.br,F,1971-04-11,2021-04-17
34,THIAGO ALVES COSTA,18233749894,cliente034@email.com.br,M,1964-07-05,2021-02-01
35,FERNANDA RIBEIRO FERREIRA,40824008427,cliente035@email.com.br,F,1964-08-07,2020-01-26
36,JESSICA BARBOSA ARAUJO,52047116719,cliente036@email.com.br,F,1988-03-26,2023-11-06
37,JOAO RODRIGUES MOURA,41318699938,cliente037@email.com.br,M,1977-01-23,2022-07-11
38,PATRICIA MOURA CARVALHO,49909133412,cliente038@email.com.br,F,1970-10-04,2020-12-21
39,JOAO SILVA CARVALHO,79740344713,cliente039@email.com.br,M,1971-11-13,2023-07-04
40,FELIPE SOUZA DIAS,32421024994,cliente040@email.com.br,M,1979-09-13,2020-09-11
41,BRUNA GOMES MARTINS,48877190659,cliente041@email.com.br,F,1971-03-26,2020-02-22
42,LUIS MOURA MOURA,04902787429,cliente042@email.com.br,M,1979-07-21,2023-07-24
43,MARIA BARBOSA RIBEIRO,65512567468,cliente043@email.com.br,F,1961-08-24,2022-07-20
44,RAFAEL LIMA COSTA,16808760385,cliente044@email.com.br,M,1987-12-06,2022-10-17
45,LARISSA SANTOS ALVES,48247710932,cliente045@email.com.br,F,1973-12-09,2023-02-02
46,ANDERSON CARVALHO OLIVEIRA,31712748467,cliente046@email.com.br,M,1981-03-07,2021-05-14
47,LETICIA RODRIGUES MARTINS,39821465840,cliente047@email.com.br,F,1972-09-08,2021-09-03
48,NATALIA RODRIGUES ARAUJO,87558867533,cliente048@email.com.br,F,1985-08-25,2022-02-23
